words,user_location
"['wherever', 'weve', 'got', 'covered', 'trade', 'perfect', 'money', 'best', 'ever']","Lagos, Nigeria"
"['coming', 'soon', 'road', 'near', 'local', 'band', 'together', 'mobilize']","Pasco, FL"
"['art', 'choose', 'mask']","Wicklow, Ireland"
"['according', 'medical', 'association', 'since', 'outbreak']",Sri Lanka
"['met', 'best', 'friend', 'still', 'wondering', 'jackass', 'still', 'alive']",Searching..
"['total', 'reaching', 'according', 'latest', 'data', 'min']","Trincomalee , Sri Lanka"
"['book', 'need', 'help', 'corona']",
"['ahead', 'launch', 'patient', 'made', 'debut', 'mark']","Buffalo, NY"
"['unemployment', 'rate', 'somewhere', 'current', 'ex']","Sydney, New South Wales"
"['serious', 'chronical', 'heparin', 'blood', 'thinner']",
"['new', 'blood', 'test', 'reliably', 'heart', 'failure', 'could', 'lead', 'new', 'diagnostics', 'treat']",Ottawa
"['great', 'news', 'vaccine', 'candidate', 'next', 'clinical', 'development', 'thank', 'yo']",TheCarriageHouse in Nutley NJ
"['fake', 'news']",Australia
"['continue', 'awareness', 'together', 'healthy']",Somalia
"['see', 'cant', 'help', 'thinking', 'many', 'die', 'virus']",Copenhagen 
"['clip', 'follow']",
"['red', 'dealing', 'heart', 'issue', 'related']",Athens
"['pandemic', 'severely', 'malaria', 'control', 'writing']","London, England"
"['like', 'many', 'detention', 'visitor', 'weve', 'able', 'carry', 'regular', 'pandemic']","Glasgow, Scotland"
"['responsible', 'citizen', 'follow', 'safety', 'us', 'safe']",
"['excited', 'see', 'highlight', 'work', 'group', 'call']","NY, DC"
"['watch', 'second', 'episode', 'series', 'leadership', 'crisis']","New York, Bangalore, Singapore"
"['emergency', 'shortage', 'convalescent', 'plasma', 'type', 'blood', 'donation', 'given', 'plasm']","MD, NoVA, DC, So PA"
